2020-08-27 15:44:54,003 [main] INFO  [com.zl.log.DemoLogAopApplication] StartupInfoLogger.java:55 - Starting DemoLogAopApplication on Shanzhen-PC with PID 4212 (C:\Users\Shanzhen\IdeaProjects\demo\demo\demo-log-aop\target\classes started by Shanzhen in C:\Users\Shanzhen\IdeaProjects\demo\demo)
2020-08-27 15:44:54,007 [main] INFO  [com.zl.log.DemoLogAopApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-08-27 15:44:55,383 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 8080 (http)
2020-08-27 15:44:55,396 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-08-27 15:44:55,397 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-27 15:44:55,398 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - An older version [1.2.16] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-08-27 15:44:55,399 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-08-27 15:44:55,399 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-08-27 15:44:55,400 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-08-27 15:44:56,528 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-08-27 15:44:56,610 [main] INFO  [o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-08-27 15:44:56,611 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:285 - Root WebApplicationContext: initialization completed in 2545 ms
2020-08-27 15:44:56,945 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-27 15:44:57,520 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-08-27 15:44:57,598 [main] INFO  [com.zl.log.DemoLogAopApplication] StartupInfoLogger.java:61 - Started DemoLogAopApplication in 4.403 seconds (JVM running for 5.161)
