2020-08-06 20:43:35,448 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-08-06 20:43:35,454 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 6 ms
2020-08-06 20:44:25,308 [main] INFO  [com.zl.log.DemoLogAopApplication] StartupInfoLogger.java:55 - Starting DemoLogAopApplication on Shanzhen-PC with PID 23964 (C:\Users\Shanzhen\IdeaProjects\demo\demo\demo-log-aop\target\classes started by Shanzhen in C:\Users\Shanzhen\IdeaProjects\demo\demo)
2020-08-06 20:44:25,313 [main] INFO  [com.zl.log.DemoLogAopApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-08-06 20:44:26,971 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 8080 (http)
2020-08-06 20:44:26,989 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-08-06 20:44:26,991 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-06 20:44:26,995 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - An older version [1.2.16] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-08-06 20:44:26,995 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-08-06 20:44:26,995 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-08-06 20:44:26,997 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-08-06 20:44:28,063 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-08-06 20:44:28,141 [main] INFO  [o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-08-06 20:44:28,142 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:285 - Root WebApplicationContext: initialization completed in 2757 ms
2020-08-06 20:44:28,586 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-06 20:44:28,915 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-08-06 20:44:28,925 [main] INFO  [com.zl.log.DemoLogAopApplication] StartupInfoLogger.java:61 - Started DemoLogAopApplication in 4.359 seconds (JVM running for 4.877)
2020-08-06 20:44:46,449 [http-nio-8080-exec-1] INFO  [o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-06 20:44:46,449 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-08-06 20:44:46,467 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 18 ms
2020-08-06 20:44:46,515 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:46 - 【请求 URL】：http://localhost:8080/demo/test
2020-08-06 20:44:46,517 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:47 - 【请求 IP】：0:0:0:0:0:0:0:1
